event_id,artist_id,venue_id,start_date,attendance,average_ticket_price
EV-3adca30d-b5ea,AR-4de1a19c-0779,VN-Arena16800OH-621a3f60-24c0,1/2/14,10542,41.45
EV-bc114a58-3eaf,AR-4de1a19c-0779,VN-Arena15200NY-Own-334a8797-8708,1/11/14,11390,57.35
EV-78a9775c-5eee,AR-4de1a19c-0779,VN-Arena15200NY-Own-334a8797-8708,8/29/14,11482,57.36
EV-cf249300-7259,AR-4de1a19c-0779,VN-Arena15200NY-Own-334a8797-8708,2/15/17,152,59.63
EV-54753efb-60ca,AR-4de1a19c-0779,VN-Arena14400OK-Own-226f9270-4eb6,1/17/14,9513,42.79
EV-b991cc54-ab8a,AR-4de1a19c-0779,VN-Arena14400OK-Own-226f9270-4eb6,4/30/16,10115,54.4
EV-f69c41f4-7e19,AR-4de1a19c-0779,VN-Arena14400OK-Own-226f9270-4eb6,5/6/22,4682,56.64
EV-dbbb4c2c-7b4a,AR-4de1a19c-0779,VN-Arena9600IL-cb564e03-0b82,1/23/14,7822,43.21
EV-de550851-ce03,AR-4de1a19c-0779,VN-Arena9600IL-cb564e03-0b82,5/4/17,6344,53.05
EV-388bfd4e-6fbb,AR-4de1a19c-0779,VN-Arena9600IL-cb564e03-0b82,5/5/17,5930,51.0
EV-5f5cea74-c934,AR-4de1a19c-0779,VN-Arena9600IL-cb564e03-0b82,2/14/20,6346,60.47
EV-dfc6fd7e-13e0,AR-4de1a19c-0779,VN-Arena13600NE-675aa958-92cd,1/25/14,11164,41.5
EV-5e1517b5-6817,AR-4de1a19c-0779,VN-Arena13600NE-675aa958-92cd,4/28/16,11770,54.49
EV-53684fd5-e1fd,AR-4de1a19c-0779,VN-Arena13600NE-675aa958-92cd,7/19/18,8721,56.11
EV-92b8a4a5-a21b,AR-4de1a19c-0779,VN-Arena11200NJ-ff81b94b-b852,2/1/14,9714,45.4
EV-bc69661a-3e2b,AR-4de1a19c-0779,VN-Arena11200NJ-ff81b94b-b852,5/20/16,9311,61.42
EV-6a16a7ce-e652,AR-4de1a19c-0779,VN-Arena11200NJ-ff81b94b-b852,2/9/18,10096,69.21
EV-527c062b-eefe,AR-4de1a19c-0779,VN-Arena18800NC-Own-a94dd55c-5e7c,2/3/14,10657,45.11
EV-3d8d3f53-021c,AR-4de1a19c-0779,VN-Arena18800KY-0cadb9b6-4520,2/7/14,14144,32.2
EV-417d16ff-3c4a,AR-4de1a19c-0779,VN-Arena8000ND-ff4a0c85-76fa,2/15/14,5226,44.35
EV-5c444421-e2e9,AR-4de1a19c-0779,VN-Arena11667TN-92676638-6ae2,2/21/14,10618,40.09
EV-df54ce5c-8d59,AR-4de1a19c-0779,VN-Arena11667TN-92676638-6ae2,3/16/19,5449,60.92
EV-925572a0-d2fe,AR-4de1a19c-0779,VN-Arena10800LA-Own-d5222c8b-63af,2/22/14,9834,44.13
EV-7f3cd093-f25c,AR-4de1a19c-0779,VN-Arena10800LA-Own-d5222c8b-63af,5/4/16,9295,45.51
EV-bd58e9f4-8037,AR-4de1a19c-0779,VN-Arena16610BC-d20b146c-1e55,4/19/14,11311,45.89
EV-9af2e7f8-d54d,AR-4de1a19c-0779,VN-Arena16610BC-d20b146c-1e55,8/4/17,7370,61.87
EV-0effec3d-b01d,AR-4de1a19c-0779,VN-Amphitheatre20000VA-c1156b2f-4ccd,5/17/14,17626,30.46
EV-78e7f46d-1090,AR-4de1a19c-0779,VN-Amphitheatre20000VA-c1156b2f-4ccd,6/12/15,12506,31.98
EV-35e819ee-b163,AR-4de1a19c-0779,VN-Amphitheatre20000VA-c1156b2f-4ccd,6/13/15,16072,31.87
EV-109e75b0-c2ab,AR-4de1a19c-0779,VN-Amphitheatre20000VA-c1156b2f-4ccd,5/27/16,12160,36.6
EV-645a10bf-9961,AR-4de1a19c-0779,VN-Amphitheatre20000VA-c1156b2f-4ccd,5/28/16,16667,36.58
EV-c039daf3-a9f5,AR-4de1a19c-0779,VN-Amphitheatre20000VA-c1156b2f-4ccd,4/28/17,16230,33.72
EV-566c8df0-84c7,AR-4de1a19c-0779,VN-Amphitheatre20000VA-c1156b2f-4ccd,8/4/18,16405,39.41
EV-729f3d42-db19,AR-4de1a19c-0779,VN-Amphitheatre20000VA-c1156b2f-4ccd,5/18/19,14940,38.15
EV-562445b2-e768,AR-4de1a19c-0779,VN-Amphitheatre20000VA-c1156b2f-4ccd,7/3/21,13082,43.35
EV-4bc421b6-ba39,AR-4de1a19c-0779,VN-Amphitheatre20000VA-c1156b2f-4ccd,7/7/22,17554,41.53
EV-458ae011-9666,AR-4de1a19c-0779,VN-Amphitheatre20000VA-c1156b2f-4ccd,8/11/19,12570,41.08
EV-d00a33f1-6353,AR-4de1a19c-0779,VN-Amphitheatre20000VA-c1156b2f-4ccd,6/8/14,15310,28.58
EV-b478c5f8-8e19,AR-4de1a19c-0779,VN-Amphitheatre20000VA-c1156b2f-4ccd,5/16/14,16541,29.7
EV-5254ecca-605f,AR-4de1a19c-0779,VN-Amphitheatre14000NJ-4a0a0e06-2f1d,5/18/14,13294,36.14
EV-fc5da8fe-cdcb,AR-4de1a19c-0779,VN-Amphitheatre14000NJ-4a0a0e06-2f1d,5/19/16,13218,40.49
EV-6edcc2e7-74ce,AR-4de1a19c-0779,VN-Amphitheatre14000NJ-4a0a0e06-2f1d,8/24/19,13111,49.79
EV-fdeeda4a-bd49,AR-4de1a19c-0779,VN-Amphitheatre14000NJ-4a0a0e06-2f1d,7/4/21,13345,58.43
EV-2203bbcd-39ff,AR-4de1a19c-0779,VN-Amphitheatre14000NJ-4a0a0e06-2f1d,6/8/19,13246,49.89
EV-2b512ea4-62e4,AR-4de1a19c-0779,VN-Amphitheatre14000NJ-4a0a0e06-2f1d,6/26/14,13089,37.01
EV-c8446c58-917a,AR-4de1a19c-0779,VN-Amphitheatre14000NJ-4a0a0e06-2f1d,6/9/19,13274,43.09
EV-36230be3-0356,AR-4de1a19c-0779,VN-Amphitheatre14000NJ-4a0a0e06-2f1d,7/22/21,13354,48.93
EV-dbd8ff7e-a530,AR-4de1a19c-0779,VN-Amphitheatre14000NJ-4a0a0e06-2f1d,6/24/17,13280,45.66
EV-9b39fd03-ba60,AR-4de1a19c-0779,VN-Amphitheatre14000NJ-4a0a0e06-2f1d,6/23/17,13264,45.5
EV-849cb5e0-b73c,AR-4de1a19c-0779,VN-Amphitheatre14000NJ-4a0a0e06-2f1d,6/27/14,13145,37.05
EV-24879812-f3dc,AR-4de1a19c-0779,VN-Amphitheatre14000NJ-4a0a0e06-2f1d,7/2/17,13127,41.43
EV-d8bf393f-86d2,AR-4de1a19c-0779,VN-Amphitheatre16000VA-24062780-5245,5/23/14,15358,27.4
EV-43928f13-88e0,AR-4de1a19c-0779,VN-Amphitheatre16000VA-24062780-5245,6/10/15,8408,35.57
EV-9a2a9ab6-f651,AR-4de1a19c-0779,VN-Amphitheatre16000VA-24062780-5245,6/11/15,15039,29.9
EV-cd69e2d2-6b7f,AR-4de1a19c-0779,VN-Amphitheatre16000VA-24062780-5245,5/26/16,15120,34.05
EV-17a5822f-265f,AR-4de1a19c-0779,VN-Amphitheatre16000VA-24062780-5245,6/23/22,14666,33.59
EV-08578e31-e573,AR-4de1a19c-0779,VN-Amphitheatre16000VA-24062780-5245,8/21/16,10731,32.16
EV-a04581c4-78b0,AR-4de1a19c-0779,VN-Amphitheatre16000VA-24062780-5245,3/29/19,10306,35.9
EV-a0064868-f0b3,AR-4de1a19c-0779,VN-Amphitheatre16000VA-24062780-5245,5/22/15,11539,28.68
EV-042ee743-a4bf,AR-4de1a19c-0779,VN-Amphitheatre16000NC-57785495-f095,5/25/14,15432,27.14
EV-f368e183-eb55,AR-4de1a19c-0779,VN-Amphitheatre16000NC-57785495-f095,9/11/15,14498,27.92
EV-5bccd753-cce2,AR-4de1a19c-0779,VN-Amphitheatre16000NC-57785495-f095,9/12/15,15614,30.07
EV-a8321127-83a2,AR-4de1a19c-0779,VN-Amphitheatre16000NC-57785495-f095,8/20/16,10150,33.13
EV-021a72b5-8596,AR-4de1a19c-0779,VN-Amphitheatre16000NC-57785495-f095,9/28/19,12623,34.05
EV-3aa24e71-f01d,AR-4de1a19c-0779,VN-Amphitheatre16000NC-57785495-f095,4/23/15,9467,28.72
EV-b25af597-3058,AR-4de1a19c-0779,VN-Amphitheatre16000NC-57785495-f095,9/25/14,11922,27.8
EV-c2965d88-17e1,AR-4de1a19c-0779,VN-Amphitheatre16000NC-57785495-f095,5/24/14,15717,27.36
EV-d4444375-c898,AR-4de1a19c-0779,VN-Amphitheatre16000NC-57785495-f095,8/19/16,13384,30.96
EV-58fd4abb-d87f,AR-4de1a19c-0779,VN-Stadium48000PA-6ac15d0a-8ac9,6/7/14,52800,48.24
EV-d7654e8a-bcb6,AR-4de1a19c-0779,VN-Stadium48000PA-6ac15d0a-8ac9,6/16/18,28625,46.08
EV-9ff016d9-ab10,AR-4de1a19c-0779,VN-Amphitheatre8188AL-85813dee-6686,7/9/14,7042,40.32
EV-3880905b-be60,AR-4de1a19c-0779,VN-Amphitheatre8188AL-85813dee-6686,8/4/22,5696,49.61
EV-6bd09eeb-575c,AR-4de1a19c-0779,VN-Amphitheatre15203GA-Own-497a2fdb-de8b,7/11/14,14626,28.33
EV-167a2204-07e1,AR-4de1a19c-0779,VN-Amphitheatre15203GA-Own-497a2fdb-de8b,7/12/14,14664,28.29
EV-09a8df7e-a95e,AR-4de1a19c-0779,VN-Amphitheatre15203GA-Own-497a2fdb-de8b,5/6/16,9678,35.64
EV-50dd4a4f-c2ec,AR-4de1a19c-0779,VN-Amphitheatre15203GA-Own-497a2fdb-de8b,6/25/22,12126,37.74
EV-5f3c5a0e-2b52,AR-4de1a19c-0779,VN-Amphitheatre15203GA-Own-497a2fdb-de8b,5/7/16,14586,34.65
EV-bae54bef-668f,AR-4de1a19c-0779,VN-Amphitheatre20091NY-917012de-5fe1,8/3/14,19707,28.5
EV-daec6f9a-daab,AR-4de1a19c-0779,VN-Amphitheatre20091NY-917012de-5fe1,7/17/16,19478,33.76
EV-277c2bc5-a955,AR-4de1a19c-0779,VN-Amphitheatre20091NY-917012de-5fe1,8/12/17,13781,37.28
EV-ffc748cf-e875,AR-4de1a19c-0779,VN-Amphitheatre20091NY-917012de-5fe1,8/5/18,13329,
EV-b0e82f07-733c,AR-4de1a19c-0779,VN-Amphitheatre20091NY-917012de-5fe1,6/27/19,12622,36.62
EV-7586b61a-ea5b,AR-4de1a19c-0779,VN-Amphitheatre20091NY-917012de-5fe1,7/31/22,18629,33.62
EV-2e0907dc-09b3,AR-4de1a19c-0779,VN-Amphitheatre20091NY-917012de-5fe1,8/16/19,12634,33.79
EV-693c9716-31ef,AR-4de1a19c-0779,VN-Amphitheatre20091NY-917012de-5fe1,5/19/22,12872,36.62
EV-fd55f0eb-fd39,AR-4de1a19c-0779,VN-Amphitheatre16800OH-9636261e-d4f7,8/7/14,15853,29.12
EV-f60e9eaa-2a92,AR-4de1a19c-0779,VN-Amphitheatre16800OH-9636261e-d4f7,8/8/14,16079,29.28
EV-9ee67b17-468d,AR-4de1a19c-0779,VN-Amphitheatre16800OH-9636261e-d4f7,7/28/16,12017,38.13
EV-8c53f5d4-adf5,AR-4de1a19c-0779,VN-Amphitheatre16800OH-9636261e-d4f7,7/29/16,16185,37.59
EV-caa72a28-335e,AR-4de1a19c-0779,VN-Amphitheatre16800OH-9636261e-d4f7,8/31/19,15735,38.27
EV-8a449b36-c898,AR-4de1a19c-0779,VN-Amphitheatre16800OH-9636261e-d4f7,5/9/15,13273,36.99
EV-5533b65e-e6c5,AR-4de1a19c-0779,VN-Amphitheatre16800OH-9636261e-d4f7,6/10/16,15350,34.68
EV-b00b7637-f576,AR-4de1a19c-0779,VN-Amphitheatre16800OH-9636261e-d4f7,5/31/14,13906,28.81
EV-a6d0c514-e7c6,AR-4de1a19c-0779,VN-Amphitheatre16800OH-9636261e-d4f7,8/6/21,12869,38.54
EV-26389e50-ea20,AR-4de1a19c-0779,VN-Amphitheatre16399OH-919bb4f8-e927,8/9/14,15905,26.38
EV-0054e398-5cbb,AR-4de1a19c-0779,VN-Amphitheatre16399OH-919bb4f8-e927,8/10/14,15904,26.37
EV-52315b4c-b4e1,AR-4de1a19c-0779,VN-Amphitheatre16399OH-919bb4f8-e927,7/30/16,15769,31.95
EV-f081f1ed-bd87,AR-4de1a19c-0779,VN-Amphitheatre16399OH-919bb4f8-e927,7/31/16,11992,35.11
EV-71de0d45-f5c3,AR-4de1a19c-0779,VN-Amphitheatre16399OH-919bb4f8-e927,5/18/17,15658,31.24
EV-6be0d8ba-1f94,AR-4de1a19c-0779,VN-Amphitheatre16399OH-919bb4f8-e927,7/8/21,15662,41.27
EV-c3234a57-b4ea,AR-4de1a19c-0779,VN-Amphitheatre16399OH-919bb4f8-e927,5/30/14,15987,24.37
EV-f0d94bbd-5ffa,AR-4de1a19c-0779,VN-Amphitheatre16399OH-919bb4f8-e927,5/8/15,15798,26.02
EV-8643ba4e-7bc5,AR-4de1a19c-0779,VN-Amphitheatre16399OH-919bb4f8-e927,6/17/16,15846,31.38
EV-8125b0cd-6201,AR-4de1a19c-0779,VN-Amphitheatre16399OH-919bb4f8-e927,8/15/21,10488,32.47
EV-5ca9f598-7885,AR-4de1a19c-0779,VN-Amphitheatre16399OH-919bb4f8-e927,7/30/22,14815,34.06
EV-58916c1c-9e16,AR-4de1a19c-0779,VN-Stadium49719IL-00fa0aa2-9902,8/17/14,40422,59.44
EV-8afe898f-7579,AR-4de1a19c-0779,VN-Arena8000NH-de46c931-c395,8/28/14,6994,45.59
EV-c6faa80e-4c69,AR-4de1a19c-0779,VN-Arena8000NH-de46c931-c395,2/17/17,6882,54.79
EV-07bb7180-2af7,AR-4de1a19c-0779,VN-Arena15200NY-Own-12584a99-8ab9,8/31/14,10563,57.7
EV-c6310c0a-73ff,AR-4de1a19c-0779,VN-Arena16000TX-b3e3457c-51be,9/4/14,11338,41.72
EV-7973c2db-0273,AR-4de1a19c-0779,VN-Arena16000TX-b3e3457c-51be,8/23/18,8547,53.6
EV-88a04cb9-5d73,AR-4de1a19c-0779,VN-Arena16000TX-b3e3457c-51be,8/11/22,6449,68.47
EV-8d96c940-d2c9,AR-4de1a19c-0779,VN-Arena16000TX-b3e3457c-51be,9/21/14,4563,48.43
EV-6be4485a-f60a,AR-4de1a19c-0779,VN-Amphitheatre13600TX-31bcaa1a-072e,9/5/14,12418,33.04
EV-1a43ab91-4235,AR-4de1a19c-0779,VN-Amphitheatre13600TX-31bcaa1a-072e,10/6/16,12222,36.25
EV-eee77d00-cdec,AR-4de1a19c-0779,VN-Amphitheatre13600TX-31bcaa1a-072e,9/8/17,10823,39.2
EV-68189aa8-694d,AR-4de1a19c-0779,VN-Amphitheatre13600TX-31bcaa1a-072e,8/24/18,8966,42.73
EV-285ea19f-c762,AR-4de1a19c-0779,VN-Amphitheatre13600TX-31bcaa1a-072e,10/13/19,7356,42.86
EV-e990375b-7bac,AR-4de1a19c-0779,VN-Amphitheatre13600TX-31bcaa1a-072e,9/2/17,8832,39.34
EV-8b1bac6b-5d38,AR-4de1a19c-0779,VN-Amphitheatre13600TX-31bcaa1a-072e,10/24/15,11052,37.44
EV-f4b8e9e9-8a8e,AR-4de1a19c-0779,VN-Amphitheatre13600TX-31bcaa1a-072e,9/20/14,9726,36.09
EV-7ef76487-faef,AR-4de1a19c-0779,VN-Amphitheatre16000FL-3dc55958-5495,9/11/14,13186,31.47
EV-3776adfe-ce92,AR-4de1a19c-0779,VN-Amphitheatre16000FL-3dc55958-5495,9/12/14,15048,32.33
EV-b4e0e878-b608,AR-4de1a19c-0779,VN-Amphitheatre16000FL-3dc55958-5495,9/4/15,14913,36.67
EV-4c2d866d-ec82,AR-4de1a19c-0779,VN-Amphitheatre16000FL-3dc55958-5495,7/19/19,13504,45.21
EV-0f360f01-8b61,AR-4de1a19c-0779,VN-Amphitheatre16000FL-3dc55958-5495,5/15/14,10501,23.87
EV-2960ec16-9965,AR-4de1a19c-0779,VN-Amphitheatre16000FL-3dc55958-5495,9/4/16,12885,35.88
EV-f93af439-6940,AR-4de1a19c-0779,VN-Amphitheatre16000FL-3dc55958-5495,10/30/15,14729,33.37
EV-4a315927-ef2a,AR-4de1a19c-0779,VN-Amphitheatre16000FL-3dc55958-5495,10/6/19,12505,43.7
EV-1c60b41f-facc,AR-4de1a19c-0779,VN-Amphitheatre14848CA-e47e2d91-c1be,10/2/14,14387,31.43
EV-f15ec8f5-b78f,AR-4de1a19c-0779,VN-Amphitheatre14848CA-e47e2d91-c1be,10/1/15,14366,33.24
EV-4f3d3998-625f,AR-4de1a19c-0779,VN-Amphitheatre14848CA-e47e2d91-c1be,9/1/16,14063,37.36
EV-b4572f37-7e6b,AR-4de1a19c-0779,VN-Amphitheatre14848CA-e47e2d91-c1be,8/9/19,13144,34.46
EV-8288b37e-c3c6,AR-4de1a19c-0779,VN-Amphitheatre14848CA-e47e2d91-c1be,9/26/21,10140,44.22
EV-4c24fc7c-3248,AR-4de1a19c-0779,VN-Amphitheatre16400CA-9083b955-c39a,10/10/14,15164,31.9
EV-f497eb94-615c,AR-4de1a19c-0779,VN-Amphitheatre16400CA-9083b955-c39a,10/2/15,15290,35.69
EV-5d4918f8-a47f,AR-4de1a19c-0779,VN-Amphitheatre16400CA-9083b955-c39a,10/11/17,8806,41.12
EV-f560c5d3-da95,AR-4de1a19c-0779,VN-Amphitheatre16400CA-9083b955-c39a,9/9/21,10392,42.12
EV-37438f20-08ed,AR-4de1a19c-0779,VN-Amphitheatre16400CA-9083b955-c39a,10/5/14,9642,26.87
EV-12ca72b7-c785,AR-4de1a19c-0779,VN-Amphitheatre16400CA-9083b955-c39a,9/5/19,9505,40.11
EV-2c310333-a837,AR-4de1a19c-0779,VN-Amphitheatre16400CA-9083b955-c39a,9/3/16,14466,38.64
EV-16a13cb6-a7b9,AR-4de1a19c-0779,VN-Amphitheatre14400CA-Own-81a2c12a-496a,10/11/14,13413,51.99
EV-c5e4e3ee-4dc6,AR-4de1a19c-0779,VN-Arena14880CA-cd363de5-13c6,10/12/14,9112,52.8
